,district,date,Crop,crop_type,crop_sown,rainfall_mm,temp_avg_C,humidity_avg,wind_speed_avg_Kmph,mrp_rs_kg,Min_duration_days,max_duration_days,duration_months,avg_cost_of_cultivation_rs_ac,Yield_kg_ac,Soil_type,avg_pH,N_kg_ha,P_kg_ha,K_kg_ha,irrigation,profit_rs_ac,ROI,sow_and_harvest,crop_term
16,Medak,2019-Jan,CASTOR  ,oil_seeds,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,38.0,150,300,7.5,16500,657.0,sandy loam,5.75,40.0,25,15.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
17,Medak,2019-Jan,SOYABEAN,oil_seeds,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,28.75,50,145,3.25,11500,732.0,loamy soil,6.75,20.0,40,20.0,True,0.0,0.0,one_sow_few_harvests,short_term
18,Medak,2019-Jan,COTTON,other_commercial_crop,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,103.5,180,240,7.0,37500,500.0,sandy loam,6.900000095367432,80.0,40,40.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
19,Medak,2019-Jan,Chillies,vgetable,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,95.0,150,180,5.5,45000,2750.0,sandy loam,6.25,30.0,60,30.0,True,216250.0,480.5555419921875,one_sow_few_harvests,intermediate_term
20,Medak,2019-Jan,SUGARCANE  ,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,2.75,300,450,12.5,72500,31337.0,sandy loam,7.0,150.0,80,80.0,True,0.0,0.0,one_sow_one_harvest,long_term
21,Medak,2019-Jan,ONION,vegetable,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,27.399999618530273,80,150,3.8333332538604736,37500,17000.0,sandy loam,6.5,40.0,20,40.0,True,428300.0,1142.13330078125,one_sow_one_harvest,short_term
22,medak,2019-Jan,Tomato,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,19.0,90,90,3.0,45000,16187.400390625,sandy loam,6.5,200.0,250,250.0,False,0.0,0.0,one_sow_few_harvests,short_term
23,medak,2019-Jan,Brinjal,vegetable,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,15.0,140,140,4.666666507720947,27500,16181.0,loamy soil,6.050000190734863,200.0,75,75.0,False,215215.0,782.5999755859375,one_sow_few_harvests,intermediate_term
24,medak,2019-Jan,Ginger,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,33.0,240,240,8.0,60500,10000.0,loamy soil,6.0,10.0,20,20.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
25,medak,2019-Jan,Potato,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,29.0,75,75,2.5,43000,14164.0,loamy soil,6.25,5.0,10,10.0,False,0.0,0.0,one_sow_one_harvest,short_term
26,medak,2019-Jan,Bhendi,vegetable,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,31.0,55,55,1.8333333730697632,24000,8092.0,sandy loam,6.400000095367432,30.0,40,40.0,True,226852.0,945.2166748046875,one_sow_few_harvests,short_term
27,medak,2019-Jan,Cabbage,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,28.0,90,90,3.0,28500,8101.0,sandy loam,6.5,90.0,90,90.0,True,0.0,0.0,one_sow_one_harvest,short_term
28,medak,2019-Jan,Coccinea,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,35.0,180,180,6.0,38000,15004.0,loamy soil,6.25,80.0,60,40.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
29,medak,2019-Jan,Turmeric,other_commercial_crop,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,95.0,210,210,7.0,67000,1200.0,clay loam,6.0,120.0,50,80.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
30,medak,2019-Jan,Banana,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,31.0,360,360,12.0,90000,16180.0,loamy soil,6.75,400.0,120,600.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
31,medak,2019-Jan,Dates,dry_fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,294.0,1080,1080,36.0,395000,12000.0,sandy loamy,9.5,32.0,32,32.0,True,0.0,0.0,one_sow_many_harvests,long_term
32,medak,2019-Jan,Pomegrante,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,103.0,1980,1980,66.0,61500,9000.0,loamy soil,7.25,56.0,20,20.0,False,0.0,0.0,one_sow_many_harvests,long_term
33,medak,2019-Jan,Custard apple,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,62.0,1080,1080,36.0,29000,7996.0,loamy soil,6.0,25.0,12,12.0,False,0.0,0.0,one_sow_many_harvests,long_term
34,medak,2019-Jan,Grapes,fruit,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,118.0,900,900,30.0,92000,20235.279296875,sandy loam,7.25,215.0,75,100.0,True,2295763.0,2495.39453125,one_sow_many_harvests,long_term
35,medak,2019-Jan,Papaya,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,34.0,210,210,7.0,72000,30000.0,sandy loam,6.75,1088.0,72,527.0,True,0.0,0.0,one_sow_many_harvests,intermediate_term
36,medak,2019-Jan,Mango,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,50.0,1800,2880,78.0,46750,3000.0,sandy loam,6.5,400.0,400,600.0,False,0.0,0.0,one_sow_many_harvests,long_term
37,medak,2019-Jan,Dragon Fruit,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,136.0,240,720,16.0,430000,10000.0,sandy loam,6.0,170.0,170,170.0,False,0.0,0.0,one_sow_many_harvests,long_term
38,medak,2019-Jan,Rose,flower,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,162.0,45,50,1.5833333730697632,47000,800.0,loamy soil,6.25,200.0,75,125.0,True,0.0,0.0,one_sow_many_harvests,short_term
39,medak,2019-Jan,Marigold,flower,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,61.0,56,60,1.9333332777023315,30500,10000.0,sandy loam,7.25,45.0,90,75.0,False,579500.0,1900.0,one_sow_few_harvests,short_term
40,medak,2019-Jan,Capsicum,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,15.0,55,90,2.4166667461395264,42000,40005.0,clay loam,6.5,40.0,60,30.0,True,0.0,0.0,one_sow_few_harvests,short_term
41,medak,2019-Jan,Cauliflower,vegetable,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,24.0,90,120,3.5,29500,8098.0,loamy soil,6.5,120.0,80,80.0,True,0.0,0.0,one_sow_one_harvest,short_term
42,medak,2019-Jan,Bitter Gourd,vegetable,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,40.0,55,60,1.9166666269302368,22000,6069.0,sandy loam,6.5,120.0,40,80.0,False,220760.0,1003.4545288085938,one_sow_few_harvests,short_term
43,medak,2019-Jan,Bottle Gourd,vegetable,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,16.0,110,120,3.8333332538604736,22000,15990.0,sandy loam,7.0,120.0,40,80.0,True,233840.0,1062.9090576171875,one_sow_few_harvests,short_term
44,medak,2019-Jan,Cashew ,dry_fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,636.0,720,1080,30.0,31000,1302.0,sandy loam,5.75,890.0,445,445.0,False,0.0,0.0,one_sow_many_harvests,long_term
45,medak,2019-Jan,Mulberry,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,151.0,150,180,5.5,45000,25000.0,loamy soil,6.5,350.0,140,140.0,True,0.0,0.0,one_sow_many_harvests,intermediate_term
46,medak,2019-Jan,Coconut,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,111.0,2160,3600,96.0,40500,2793.0,sandy loam,6.599999904632568,800.0,40,160.0,False,0.0,0.0,one_sow_many_harvests,long_term
47,medak,2019-Jan,Jasmine,flower,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,863.0,240,270,8.5,33500,800.0,loamy soil,7.0,50.0,100,100.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
49,medak,2019-Jan,Avacado,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,202.0,1095,1460,42.58333206176758,350000,11991.0,sandy loam,6.0,50.0,25,25.0,True,0.0,0.0,one_sow_many_harvests,long_term
50,Medak,2019-Feb,PADDY,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,16.399999618530273,90,110,3.3333332538604736,36000,2259.0,loamy soil,5.75,150.0,60,60.0,True,0.0,0.0,one_sow_one_harvest,short_term
51,Medak,2019-Feb,Wheat,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,17.799999237060547,210,240,7.5,16500,2300.0,loamy soil,6.5,80.0,40,40.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
52,Medak,2019-Feb,JOWAR ,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,28.29759979248047,65,75,2.3333332538604736,17000,861.0,loamy soil,6.75,80.0,40,40.0,True,0.0,0.0,one_sow_one_harvest,short_term
53,Medak,2019-Feb,BAJRA ,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,22.5,70,90,2.6666667461395264,11000,1500.0,sandy loam,0.75,80.0,40,40.0,False,0.0,0.0,one_sow_one_harvest,short_term
54,Medak,2019-Feb,MAIZE,grains,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,19.100000381469727,105,110,3.5833332538604736,25000,2805.0,loamy soil,6.5,60.0,30,30.0,True,28575.5,114.302001953125,one_sow_one_harvest,short_term
55,Medak,2019-Feb,RAGI   ,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,23.450000762939453,120,135,4.25,13000,648.0,loamy soil,6.0,40.0,20,20.0,False,0.0,0.0,one_sow_one_harvest,intermediate_term
56,Medak,2019-Feb,REDGRAM,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,50.8755989074707,100,120,3.6666667461395264,17500,365.0,loamy soil,5.25,10.0,20,12.0,True,0.0,0.0,one_sow_one_harvest,short_term
57,Medak,2019-Feb,GREENGRAM  ,grains,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,57.788700103759766,60,65,2.0833332538604736,15000,384.0,sandy loam,6.75,20.0,40,0.0,False,7190.86083984375,47.93907165527344,one_sow_one_harvest,short_term
58,Medak,2019-Feb,BLACKGRAM ,grains,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,49.0099983215332,70,85,2.5833332538604736,16000,729.0,sandy loam,7.150000095367432,20.0,40,40.0,False,19728.2890625,123.30181121826172,one_sow_one_harvest,short_term
59,Medak,2019-Feb,HORSEGRAM,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,45.0,90,135,3.75,15500,355.0,loamy soil,6.5,12.5,25,12.5,False,0.0,0.0,one_sow_one_harvest,short_term
60,Medak,2019-Feb,BengalGram,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,55.40869903564453,160,170,5.5,21000,620.0,sandy loam,6.25,10.0,40,20.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
61,Medak,2019-Feb,Cowpea,grains,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,48.09000015258789,90,125,3.5833332538604736,8500,334.0,sandy loam,7.099999904632568,135.0,31,250.0,True,0.0,0.0,one_sow_one_harvest,short_term
62,Medak,2019-Feb,GROUNDNUT,fruit,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,36.5,110,120,3.8333332538604736,22500,1110.0,sandy loam,6.25,60.0,45,48.0,True,18015.0,80.06666564941406,one_sow_one_harvest,short_term
63,Medak,2019-Feb,SESAMUM (Gingelly),grains,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,52.0,90,130,3.6666667461395264,13500,350.0,loamy soil,6.75,17.0,13,13.0,True,4700.0,34.814815521240234,one_sow_one_harvest,short_term
64,Medak,2019-Feb,SUNFLOWER,flower,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,36.0,90,100,3.1666667461395264,20500,928.0,sandy loam,6.400000095367432,150.0,75,50.0,True,12908.0,62.96585464477539,one_sow_one_harvest,short_term
65,Medak,2019-Feb,Safflower,flower,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,32.0,120,150,4.5,14000,448.0,sandy loam,6.5,24.0,108,48.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
66,Medak,2019-Feb,CASTOR  ,oil_seeds,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,46.0,150,300,7.5,16500,657.0,sandy loam,5.75,40.0,25,15.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
67,Medak,2019-Feb,SOYABEAN,oil_seeds,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,42.560001373291016,50,145,3.25,11500,732.0,loamy soil,6.75,20.0,40,20.0,True,0.0,0.0,one_sow_few_harvests,short_term
68,Medak,2019-Feb,COTTON,other_commercial_crop,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,121.5,180,240,7.0,37500,421.0,sandy loam,6.900000095367432,80.0,40,40.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
69,Medak,2019-Feb,Chillies,vgetable,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,90.0,150,180,5.5,45000,2750.0,sandy loam,6.25,30.0,60,30.0,True,202500.0,450.0,one_sow_few_harvests,intermediate_term
70,Medak,2019-Feb,SUGARCANE  ,fruit,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,3.390000104904175,300,450,12.5,72500,31337.0,sandy loam,7.0,150.0,80,80.0,True,33732.4296875,46.527488708496094,one_sow_one_harvest,long_term
71,Medak,2019-Feb,ONION,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,27.0,80,150,3.8333332538604736,37500,17000.0,sandy loam,6.5,40.0,20,40.0,True,0.0,0.0,one_sow_one_harvest,short_term
72,medak,2019-Feb,Tomato,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,19.0,90,90,3.0,45000,16187.400390625,sandy loam,6.5,200.0,250,250.0,False,0.0,0.0,one_sow_few_harvests,short_term
73,medak,2019-Feb,Brinjal,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,22.0,140,140,4.666666507720947,27500,16186.0,loamy soil,6.050000190734863,200.0,75,75.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
74,medak,2019-Feb,Ginger,vegetable,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,25.0,240,240,8.0,60500,10000.0,loamy soil,6.0,10.0,20,20.0,True,189500.0,313.22314453125,one_sow_one_harvest,intermediate_term
75,medak,2019-Feb,Potato,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,21.0,75,75,2.5,43000,14164.0,loamy soil,6.25,5.0,10,10.0,False,0.0,0.0,one_sow_one_harvest,short_term
76,medak,2019-Feb,Bhendi,vegetable,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,28.0,55,55,1.8333333730697632,24000,8091.0,sandy loam,6.400000095367432,30.0,40,40.0,True,202548.0,843.9500122070312,one_sow_few_harvests,short_term
77,medak,2019-Feb,Cabbage,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,17.0,90,90,3.0,28500,8105.0,sandy loam,6.5,90.0,90,90.0,True,0.0,0.0,one_sow_one_harvest,short_term
78,medak,2019-Feb,Coccinea,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,26.0,180,180,6.0,38000,14992.0,loamy soil,6.25,80.0,60,40.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
79,medak,2019-Feb,Turmeric,other_commercial_crop,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,94.0,210,210,7.0,67000,1200.0,clay loam,6.0,120.0,50,80.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
80,medak,2019-Feb,Banana,fruit,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,26.0,360,360,12.0,90000,16186.0,loamy soil,6.75,400.0,120,600.0,False,330836.0,367.5955505371094,one_sow_few_harvests,intermediate_term
81,medak,2019-Feb,Dates,dry_fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,299.0,1080,1080,36.0,395000,12000.0,sandy loamy,9.5,32.0,32,32.0,True,0.0,0.0,one_sow_many_harvests,long_term
82,medak,2019-Feb,Pomegrante,fruit,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,129.0,1980,1980,66.0,61500,9000.0,loamy soil,7.25,56.0,20,20.0,False,1099500.0,1787.804931640625,one_sow_many_harvests,long_term
83,medak,2019-Feb,Custard apple,fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,53.0,1080,1080,36.0,29000,7993.0,loamy soil,6.0,25.0,12,12.0,False,0.0,0.0,one_sow_many_harvests,long_term
84,medak,2019-Feb,Grapes,fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,117.0,900,900,30.0,92000,20235.279296875,sandy loam,7.25,215.0,75,100.0,True,0.0,0.0,one_sow_many_harvests,long_term
85,medak,2019-Feb,Papaya,fruit,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,45.0,210,210,7.0,72000,30000.0,sandy loam,6.75,1088.0,72,527.0,True,1278000.0,1775.0,one_sow_many_harvests,intermediate_term
86,medak,2019-Feb,Mango,fruit,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,69.0,1800,2880,78.0,46750,3000.0,sandy loam,6.5,400.0,400,600.0,False,160250.0,342.78076171875,one_sow_many_harvests,long_term
87,medak,2019-Feb,Dragon Fruit,fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,144.0,240,720,16.0,430000,10000.0,sandy loam,6.0,170.0,170,170.0,False,0.0,0.0,one_sow_many_harvests,long_term
88,medak,2019-Feb,Rose,flower,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,169.0,45,50,1.5833333730697632,47000,800.0,loamy soil,6.25,200.0,75,125.0,True,88200.0,187.65957641601562,one_sow_many_harvests,short_term
89,medak,2019-Feb,Marigold,flower,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,83.0,56,60,1.9333332777023315,30500,10000.0,sandy loam,7.25,45.0,90,75.0,False,0.0,0.0,one_sow_few_harvests,short_term
90,medak,2019-Feb,Capsicum,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,25.0,55,90,2.4166667461395264,42000,40005.0,clay loam,6.5,40.0,60,30.0,True,0.0,0.0,one_sow_few_harvests,short_term
91,medak,2019-Feb,Cauliflower,vegetable,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,28.0,90,120,3.5,29500,8108.0,loamy soil,6.5,120.0,80,80.0,True,0.0,0.0,one_sow_one_harvest,short_term
92,medak,2019-Feb,Bitter Gourd,vegetable,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,39.0,55,60,1.9166666269302368,22000,6073.0,sandy loam,6.5,120.0,40,80.0,False,214847.0,976.5772705078125,one_sow_few_harvests,short_term
93,medak,2019-Feb,Bottle Gourd,vegetable,True,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,15.0,110,120,3.8333332538604736,22000,16010.0,sandy loam,7.0,120.0,40,80.0,True,218150.0,991.5908813476562,one_sow_few_harvests,short_term
94,medak,2019-Feb,Cashew ,dry_fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,640.0,720,1080,30.0,31000,1293.0,sandy loam,5.75,890.0,445,445.0,False,0.0,0.0,one_sow_many_harvests,long_term
95,medak,2019-Feb,Mulberry,fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,159.0,150,180,5.5,45000,25000.0,loamy soil,6.5,350.0,140,140.0,True,0.0,0.0,one_sow_many_harvests,intermediate_term
96,medak,2019-Feb,Coconut,fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,119.0,2160,3600,96.0,40500,2794.0,sandy loam,6.599999904632568,800.0,40,160.0,False,0.0,0.0,one_sow_many_harvests,long_term
97,medak,2019-Feb,Jasmine,flower,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,987.0,240,270,8.5,33500,800.0,loamy soil,7.0,50.0,100,100.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
98,medak,2019-Feb,Chrysanthemum,flower,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,91.0,75,90,2.75,33500,9997.0,sandy loam,6.75,125.0,120,25.0,True,0.0,0.0,one_sow_few_harvests,short_term
99,medak,2019-Feb,Avacado,fruit,False,0.0,26.04107093811035,53.6678581237793,1.1589285135269165,208.0,1095,1460,42.58333206176758,350000,11997.0,sandy loam,6.0,50.0,25,25.0,True,0.0,0.0,one_sow_many_harvests,long_term
100,Medak,2019-Mar,PADDY,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,17.4375,90,110,3.3333332538604736,36000,2259.0,loamy soil,5.75,150.0,60,60.0,True,0.0,0.0,one_sow_one_harvest,short_term
101,Medak,2019-Mar,Wheat,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,18.5,210,240,7.5,16500,2300.0,loamy soil,6.5,80.0,40,40.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
102,Medak,2019-Mar,JOWAR ,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,26.200000762939453,65,75,2.3333332538604736,17000,861.0,loamy soil,6.75,80.0,40,40.0,True,0.0,0.0,one_sow_one_harvest,short_term
103,Medak,2019-Mar,BAJRA ,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,21.908700942993164,70,90,2.6666667461395264,11000,1500.0,sandy loam,0.75,80.0,40,40.0,False,0.0,0.0,one_sow_one_harvest,short_term
104,Medak,2019-Mar,MAIZE,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,18.899999618530273,105,110,3.5833332538604736,25000,2805.0,loamy soil,6.5,60.0,30,30.0,True,0.0,0.0,one_sow_one_harvest,short_term
105,Medak,2019-Mar,RAGI   ,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,24.605670928955078,120,135,4.25,13000,648.0,loamy soil,6.0,40.0,20,20.0,False,0.0,0.0,one_sow_one_harvest,intermediate_term
106,Medak,2019-Mar,REDGRAM,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,52.354000091552734,100,120,3.6666667461395264,17500,365.0,loamy soil,5.25,10.0,20,12.0,True,0.0,0.0,one_sow_one_harvest,short_term
107,Medak,2019-Mar,GREENGRAM  ,grains,False,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,46.0,60,65,2.0833332538604736,15000,384.0,sandy loam,6.75,20.0,40,0.0,False,0.0,0.0,one_sow_one_harvest,short_term
108,Medak,2019-Mar,BLACKGRAM ,grains,True,0.032258063554763794,29.888710021972656,44.80644989013672,1.3096773624420166,41.0,70,85,2.5833332538604736,16000,729.0,sandy loam,7.150000095367432,20.0,40,40.0,False,13889.0,86.8062515258789,one_sow_one_harvest,short_term
